#       k             kp                 V11                    V12                    V21                    V22          
   0.006239       0.066417         -2.471062e+00          -1.652837e-02          -1.440681e-04          4.832373e-07      
   0.006239       0.091251         -2.462184e+00          -3.094588e-02          -1.414203e-04          9.045169e-07      
   0.006239       0.119882         -2.448648e+00          -5.275809e-02          -1.374546e-04          1.540680e-06      
   0.006239       0.152235         -2.429289e+00          -8.358438e-02          -1.319333e-04          2.435377e-06      
   0.006239       0.188220         -2.403016e+00          -1.247146e-01          -1.247219e-04          3.616168e-06      
   0.006239       0.227742         -2.368906e+00          -1.768628e-01          -1.158396e-04          5.080797e-06      
   0.006239       0.270694         -2.326295e+00          -2.399558e-01          -1.054938e-04          6.782065e-06      
   0.006239       0.316959         -2.274833e+00          -3.130002e-01          -9.407939e-05          8.616403e-06      
   0.006239       0.366414         -2.214495e+00          -3.940823e-01          -8.213413e-05          1.042465e-05      
   0.006239       0.418925         -2.145542e+00          -4.805275e-01          -7.025228e-05          1.201386e-05      
   0.006239       0.474351         -2.068448e+00          -5.691839e-01          -5.897853e-05          1.320215e-05      
   0.006239       0.532541         -1.983806e+00          -6.567654e-01          -4.871705e-05          1.387440e-05      
   0.006239       0.593339         -1.892258e+00          -7.401617e-01          -3.968817e-05          1.402163e-05      
   0.006239       0.656582         -1.794458e+00          -8.166462e-01          -3.194392e-05          1.373628e-05      
   0.006239       0.722098         -1.691058e+00          -8.839667e-01          -2.542446e-05          1.315843e-05      
   0.006239       0.789711         -1.582732e+00          -9.403523e-01          -2.001903e-05          1.240513e-05      
   0.006239       0.859239         -1.470198e+00          -9.844895e-01          -1.560220e-05          1.153302e-05      
   0.006239       0.930495         -1.354268e+00          -1.015494e+00          -1.204218e-05          1.055934e-05      
   0.006239       1.003286         -1.235889e+00          -1.032879e+00          -9.200594e-06          9.512166e-06      
   0.006239       1.077416         -1.116189e+00          -1.036506e+00          -6.941650e-06          8.453294e-06      
   0.006239       1.152685         -9.964824e-01          -1.026547e+00          -5.148897e-06          7.450387e-06      
   0.006239       1.228890         -8.782568e-01          -1.003459e+00          -3.734406e-06          6.535272e-06      
   0.006239       1.305826         -7.631211e-01          -9.679988e-01          -2.632607e-06          5.699209e-06      
   0.006239       1.383286         -6.527385e-01          -9.212562e-01          -1.787888e-06          4.926792e-06      
   0.006239       1.461060         -5.487396e-01          -8.646571e-01          -1.149263e-06          4.223086e-06      
   0.006239       1.538940         -4.526193e-01          -7.999428e-01          -6.736404e-07          3.604276e-06      
   0.006239       1.616714         -3.656264e-01          -7.291201e-01          -3.287664e-07          3.073005e-06      
   0.006239       1.694174         -2.886662e-01          -6.543871e-01          -9.026027e-08          2.613810e-06      
   0.006239       1.771110         -2.222335e-01          -5.780346e-01          6.357420e-08           2.209997e-06      
   0.006239       1.847315         -1.663831e-01          -5.023190e-01          1.534832e-07           1.856005e-06      
   0.006239       1.922584         -1.207421e-01          -4.293246e-01          1.975272e-07           1.552424e-06      
   0.006239       1.996714         -8.456163e-02          -3.608352e-01          2.096640e-07           1.295942e-06      
   0.006239       2.069505         -5.680373e-02          -2.982374e-01          2.004299e-07           1.078048e-06      
   0.006239       2.140761         -3.624944e-02          -2.424644e-01          1.783035e-07           8.907036e-07      
   0.006239       2.210289         -2.161180e-02          -1.939858e-01          1.501778e-07           7.298465e-07      
   0.006239       2.277902         -1.163720e-02          -1.528410e-01          1.210876e-07           5.938542e-07      
   0.006239       2.343418         -5.183892e-03          -1.187089e-01          9.410202e-08           4.807721e-07      
   0.006239       2.406661         -1.272708e-03          -9.099996e-02          7.071511e-08           3.875466e-07      
   0.006239       2.467459         8.903247e-04           -6.895609e-02          5.142642e-08           3.109013e-07      
   0.006239       2.525649         1.915184e-03           -5.174332e-02          3.617708e-08           2.481488e-07      
   0.006239       2.581075         2.246130e-03           -3.852824e-02          2.458894e-08           1.972493e-07      
   0.006239       2.633586         2.189526e-03           -2.853341e-02          1.610461e-08           1.564886e-07      
   0.006239       2.683041         1.944605e-03           -2.107144e-02          1.010037e-08           1.242493e-07      
   0.006239       2.729306         1.632466e-03           -1.556052e-02          5.978870e-09           9.899135e-08      
   0.006239       2.772258         1.320596e-03           -1.152586e-02          3.227358e-09           7.932822e-08      
   0.006239       2.811780         1.041958e-03           -8.591669e-03          1.439160e-09           6.408632e-08      
   0.006239       2.847765         8.087904e-04           -6.468184e-03          3.093129e-10           5.231400e-08      
   0.006239       2.880118         6.219592e-04           -4.936790e-03          -3.819976e-10          4.325735e-08      
   0.006239       2.908749         4.768727e-04           -3.835598e-03          -7.886268e-10          3.632594e-08      
   0.006239       2.933583         3.669718e-04           -3.046622e-03          -1.015716e-09          3.106112e-08      
   0.006239       2.954553         2.856151e-04           -2.485123e-03          -1.133568e-09          2.711040e-08      
   0.006239       2.971601         2.269774e-04           -2.091165e-03          -1.188175e-09          2.420740e-08      
   0.006239       2.984682         1.863888e-04           -1.823195e-03          -1.208898e-09          2.215585e-08      
   0.006239       2.993761         1.603906e-04           -1.653359e-03          -1.213871e-09          2.081722e-08      
   0.006239       2.998815         1.466676e-04           -1.564221e-03          -1.213622e-09          2.010116e-08      
   0.006239       3.004739         1.312520e-04           -1.464465e-03          -1.210791e-09          1.928771e-08      
   0.006239       3.024957         8.387819e-05           -1.159871e-03          -1.182941e-09          1.671250e-08      
   0.006239       3.061273         1.748492e-05           -7.339719e-04          -1.079393e-09          1.279933e-08      
   0.006239       3.113597         -4.272176e-05          -3.325864e-04          -8.642535e-10          8.521211e-09      
   0.006239       3.181789         -7.544321e-05          -6.157686e-05          -5.638969e-10          4.793990e-09      
   0.006239       3.265666         -7.441353e-05          5.499127e-05           -2.652137e-10          2.165820e-09      
   0.006239       3.365002         -5.093694e-05          6.400454e-05           -5.700888e-11          7.037860e-10      
   0.006239       3.479529         -2.414663e-05          3.391997e-05           3.184650e-11           1.096153e-10      
   0.006239       3.608938         -6.942135e-06          9.173001e-06           3.835129e-11           -3.186879e-11     
   0.006239       3.752880         -4.409252e-07          -2.151575e-07          1.883040e-11           -2.679282e-11     
   0.006239       3.910968         5.295593e-07           -1.216871e-06          4.950841e-12           -7.884833e-12     
   0.006239       4.082775         2.202730e-07           -4.860676e-07          4.152462e-13           -7.805756e-13     
   0.006239       4.267838         3.095559e-08           -9.400331e-08          -1.562675e-13          2.238797e-13      
   0.006239       4.465657         -2.557443e-09          -7.092392e-09          -5.350841e-14          9.520731e-14      
   0.006239       4.675701         -1.398512e-09          6.024810e-10           -4.876830e-15          1.480548e-14      
   0.006239       4.897402         -1.315100e-10          1.373905e-10           4.960993e-16           8.847368e-16      
   0.006239       5.130163         6.315392e-12           8.268440e-14           1.271572e-16           -2.332719e-17     
   0.006239       5.373356         1.419279e-12           -1.470172e-12          5.322305e-18           -2.792586e-18     
   0.006239       5.626327         5.317119e-15           -9.414157e-14          -4.293482e-19          4.026638e-19      
   0.006239       5.888392         -5.413502e-15          -5.586226e-16          -2.796349e-20          4.641360e-20      
   0.006239       6.158845         -6.443563e-17          -6.721894e-18          7.003932e-22           1.344307e-21      
   0.006239       6.436958         6.643893e-18           -6.200549e-18          4.975902e-23           1.020619e-23      
   0.006239       6.721980         -8.106300e-21          -1.541202e-19          -3.108232e-25          5.921193e-25      
   0.006239       7.013143         -3.549067e-21          -2.225503e-22          -2.097321e-26          2.526163e-26      
   0.006239       7.309662         3.037686e-23           -1.888037e-23          1.757208e-28           2.306391e-28      
   0.006239       7.610739         3.279510e-25           -4.545808e-25          2.982294e-30           2.796243e-31      
   0.006239       7.915560         -5.886298e-27          7.554227e-29           -2.779362e-32          1.313553e-32      
   0.006239       8.223305         2.261248e-29           -8.539535e-31          -6.823515e-35          1.064412e-34      
   0.006239       8.533144         7.589011e-32           -6.743213e-32          1.186468e-36           -1.619479e-37     
   0.006239       8.844241         -9.234898e-34          1.800789e-34           -2.173286e-39          -5.180155e-40     
