#       k             kp                  V           
   0.015318       0.006239         -1.981465e+00     
   0.015318       0.015318         -1.981052e+00     
   0.015318       0.028399         -1.979901e+00     
   0.015318       0.045447         -1.977366e+00     
   0.015318       0.066417         -1.972662e+00     
   0.015318       0.091251         -1.964868e+00     
   0.015318       0.119882         -1.952976e+00     
   0.015318       0.152235         -1.935952e+00     
   0.015318       0.188220         -1.912820e+00     
   0.015318       0.227742         -1.882746e+00     
   0.015318       0.270694         -1.845117e+00     
   0.015318       0.316959         -1.799602e+00     
   0.015318       0.366414         -1.746172e+00     
   0.015318       0.418925         -1.685081e+00     
   0.015318       0.474351         -1.616807e+00     
   0.015318       0.532541         -1.541978e+00     
   0.015318       0.593339         -1.461301e+00     
   0.015318       0.656582         -1.375509e+00     
   0.015318       0.722098         -1.285343e+00     
   0.015318       0.789711         -1.191551e+00     
   0.015318       0.859239         -1.094906e+00     
   0.015318       0.930495         -9.962393e-01     
   0.015318       1.003286         -8.964778e-01     
   0.015318       1.077416         -7.966699e-01     
   0.015318       1.152685         -6.979961e-01     
   0.015318       1.228890         -6.017511e-01     
   0.015318       1.305826         -5.093009e-01     
   0.015318       1.383286         -4.220202e-01     
   0.015318       1.461060         -3.412148e-01     
   0.015318       1.538940         -2.680304e-01     
   0.015318       1.616714         -2.033615e-01     
   0.015318       1.694174         -1.477737e-01     
   0.015318       1.771110         -1.014544e-01     
   0.015318       1.847315         -6.420030e-02     
   0.015318       1.922584         -3.544286e-02     
   0.015318       1.996714         -1.430989e-02     
   0.015318       2.069505         2.848720e-04      
   0.015318       2.140761         9.537054e-03      
   0.015318       2.210289         1.464797e-02      
   0.015318       2.277902         1.673633e-02      
   0.015318       2.343418         1.677464e-02      
   0.015318       2.406661         1.555395e-02      
   0.015318       2.467459         1.367542e-02      
   0.015318       2.525649         1.156307e-02      
   0.015318       2.581075         9.490422e-03      
   0.015318       2.633586         7.613425e-03      
   0.015318       2.683041         6.003373e-03      
   0.015318       2.729306         4.675836e-03      
   0.015318       2.772258         3.613568e-03      
   0.015318       2.811780         2.783053e-03      
   0.015318       2.847765         2.145427e-03      
   0.015318       2.880118         1.662944e-03      
   0.015318       2.908749         1.302279e-03      
   0.015318       2.933583         1.035772e-03      
   0.015318       2.954553         8.414849e-04      
   0.015318       2.971601         7.026605e-04      
   0.015318       2.984682         6.069701e-04      
   0.015318       2.993761         5.457704e-04      
   0.015318       2.998815         5.134744e-04      
